
超级云TV,#genre#
CCTV-8电视剧,http://39.135.138.59:18890/PLTV/88888910/224/3221225631/index.m3u8
CCTV-8电视剧,http://39.135.33.12/PLTV/77777777/224/3221226721/index.m3u8
CCTV-8电视剧,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cctv8
CCTV-9纪录,http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8
CCTV-9纪录,http://cjytv.cqdm.xyz/cjytv/api/dl/大陆频道/咪咕.php?id=cctv9
CCTV-12法制,http://39.135.138.59:18890/PLTV/88888910/224/3221225629/index.m3u8
CCTV17农业,http://39.135.138.59:18890/PLTV/88888910/224/3221225909/index.m3u8
北京卫视 ,http://39.134.65.208/PLTV/88888888/224/3221225678/index.m3u8
北京卫视 ,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/beijingstv/index.m3u8?IAS
北京卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8
浙江卫视 ,http://39.135.138.59:18890/PLTV/88888910/224/3221225703/index.m3u8
浙江卫视 ,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/zhejiangstv/index.m3u8?IAS
浙江卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225744/index.m3u8
东方卫视 ,http://39.135.138.59:18890/PLTV/88888910/224/3221225658/index.m3u8
东方卫视 ,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/dongfangstv/index.m3u8?IAS
东方卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225658/index.m3u8
湖南卫视 ,http://39.135.138.59:18890/PLTV/88888910/224/3221225704/index.m3u8
湖南卫视 ,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/hunanstv/index.m3u8?IAS
湖南卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225745/index.m3u8
江苏卫视 ,http://39.135.138.59:18890/PLTV/88888910/224/3221225702/index.m3u8
江苏卫视 ,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/jiangsustv/index.m3u8?IAS
江苏卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225743/index.m3u8
安徽卫视 ,http://39.135.138.59:18890/PLTV/88888910/224/3221225691/index.m3u8
安徽卫视 ,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/anhuistv/index.m3u8?IAS
安徽卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225737/index.m3u8
湖北卫视 ,http://39.135.138.59:18890/PLTV/88888910/224/3221225699/index.m3u8
湖北卫视 ,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/hubeistv/index.m3u8?IAS
湖北卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225740/index.m3u8
深圳卫视 ,http://39.135.138.59:18890/PLTV/88888910/224/3221225700/index.m3u8
深圳卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225741/index.m3u8
山东卫视 ,http://39.135.138.59:18890/PLTV/88888910/224/3221225697/index.m3u8
山东卫视 ,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/shandongstv/index.m3u8?IAS
山东卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225738/index.m3u8
辽宁卫视 ,http://39.135.138.59:18890/PLTV/88888910/224/3221225696/index.m3u8
辽宁卫视 ,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/liaoningstv/index.m3u8?IAS
辽宁卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225735/index.m3u8
广东卫视 ,http://39.135.138.59:18890/PLTV/88888910/224/3221225701/index.m3u8
广东卫视 ,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/guangdongstv/index.m3u8?IAS
广东卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225742/index.m3u8
黑龙江卫视 ,http://39.135.138.59:18890/PLTV/88888910/224/3221225690/index.m3u8
黑龙江卫视 ,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/hljtv1/index.m3u8?IAS
黑龙江卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225736/index.m3u8
天津卫视 ,http://39.135.138.59:18890/PLTV/88888910/224/3221225698/index.m3u8
天津卫视 ,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/tianjinstv/index.m3u8?IAS
天津卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225739/index.m3u8
重庆卫视 ,http://39.135.138.59:18890/PLTV/88888910/224/3221225692/index.m3u8
重庆卫视 ,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/chongqingstv/index.m3u8?IAS
重庆卫视 ,http://39.134.115.163:8080/PLTV/88888910/224/3221225734/index.m3u8
